-55.0;96.3
-50.0;67.01
-45.0;47.17
-40.0;33.65
-35.0;24.26
-30.0;17.7
-25.0;13.04
-20.0;9.707
-15.0;7.293
-10.0;5.533
-5.0;4.232
0.0;3.265
5.0;2.539
10.0;1.99
15.0;1.571
20.0;1.249
25.0;1.0
30.0;0.8057
35.0;0.6531
40.0;0.5327
45.0;0.4369
50.0;0.3603
55.0;0.2986
60.0;0.2488
65.0;0.2083
70.0;0.1752
75.0;0.1481
80.0;0.1258
85.0;0.1072
90.0;0.09177
95.0;0.07885
100.0;0.068
105.0;0.05886
110.0;0.05112
115.0;0.04454
120.0;0.03893
125.0;0.03417
130.0;0.03009
135.0;0.02654
140.0;0.02348
145.0;0.02083
150.0;0.01853
155.0;0.01653
